ride_id,start_lat,start_lng,end_lat,end_lng
25846909964FECFA,38.90071062547463,-77.04644858837128,38.9177645,-77.032096
B84787B5731BAA60,38.805648,-77.05293,38.850688,-77.05152
001C820FD88F45B1,38.900283,-77.029822,38.905424,-77.034674
095ECEC31D1D938C,38.889,-77.0925,38.88786,-77.094875
55E9F121EC997FD9,38.936743,-77.0241495,38.89774716666667,-77.02209766666667
7D1E26FCB2AD73D6,38.888774,-77.028694,38.888774,-77.028694
54DB6AE7382CD9E3,38.884260087971725,-76.99473559856415,38.8803,-76.9862
F25940B62926F7E0,38.888255,-77.049437,38.888255,-77.049437
585AE6BAA881C951,38.90843,-77.02714,38.905697,-77.005483
6287B80C4E888091,38.902386,-77.005649,38.895914,-77.026064
B61F6A82C0F6A46B,38.895914,-77.026064,38.894573,-77.01994
F4AFA68CEF806059,38.8904955,-77.0172465,38.879819,-77.037413
10ADA47F910C0A3A,38.888255,-77.0494365,38.8904955,-77.0172465
9110BE66B12069B6,38.9059,-77.0325,38.897283,-77.022191
